Cuervos	10150	613	206.7653	-2.3714	206.6385	-3.3867	2.5	2500	1000	1
Cuervos	10150	613	207.2268	-2.3357	207.1000	-3.3510	2.5	2500	1000	1
Cuervos	10150	613	207.6883	-2.2999	207.5615	-3.3152	2.5	2500	1000	1
Cuervos	10150	613	208.1498	-2.2641	208.0230	-3.2794	2.5	2500	1000	1
Cuervos	10150	613	208.6109	-2.2244	208.4842	-3.2397	2.5	2500	1000	1
Cuervos	10159	616	208.6287	-2.2842	208.5019	-3.2994	2.5	2500	1000	1
Cuervos	10159	616	209.0374	-2.2474	208.9106	-3.2627	2.5	2500	1000	1
Cuervos	10159	616	209.4464	-2.2143	209.3196	-3.2296	2.5	2500	1000	1
Cuervos	10159	616	209.8558	-2.1871	209.7290	-3.2024	2.5	2500	1000	1
Cuervos	10159	616	210.2653	-2.1629	210.1386	-3.1782	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	210.2982	-1.9431	210.1714	-2.9584	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	210.7965	-1.9117	210.6697	-2.9270	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	211.2944	-1.8748	211.1676	-2.8901	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	211.7924	-1.8378	211.6656	-2.8531	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	212.2906	-1.8060	212.1638	-2.8213	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	212.7892	-1.7797	212.6624	-2.7950	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	213.2878	-1.7524	213.1610	-2.7677	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	213.7863	-1.7246	213.6595	-2.7399	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	214.2849	-1.6967	214.1581	-2.7120	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	214.7834	-1.6693	214.6566	-2.6846	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	215.2820	-1.6420	215.1552	-2.6573	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	215.7805	-1.6147	215.6538	-2.6300	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	216.2791	-1.5874	216.1523	-2.6027	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	216.7777	-1.5601	216.6509	-2.5754	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	217.2762	-1.5328	217.1494	-2.5481	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	217.7749	-1.5082	217.6481	-2.5235	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	218.2742	-1.5083	218.1474	-2.5236	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	218.7735	-1.5080	218.6467	-2.5233	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	219.2728	-1.5077	219.1460	-2.5230	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	219.7721	-1.5074	219.6454	-2.5227	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	220.2714	-1.5071	220.1447	-2.5224	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	220.7707	-1.5068	220.6440	-2.5221	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	221.2698	-1.5154	221.1431	-2.5307	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	221.7685	-1.5409	221.6417	-2.5562	2.5	2500	1000	1
Cuervos	10172+10177	8740+8742	222.2653	-1.5900	222.1386	-2.6053	2.5	2500	1000	1
Cuervos	10183	8727	222.4211	-1.4914	222.2943	-2.5067	2.5	2500	1000	1
Cuervos	10183	8727	222.9124	-1.5330	222.7856	-2.5483	2.5	2500	1000	1
Cuervos	10183	8727	223.4039	-1.5701	223.2771	-2.5854	2.5	2500	1000	1
Cuervos	10183	8727	223.8971	-1.5627	223.7703	-2.5780	2.5	2500	1000	1
Cuervos	10183	8727	224.3901	-1.5514	224.2632	-2.5667	2.5	2500	1000	1
Cuervos	10183	8727	224.8809	-1.5024	224.7540	-2.5177	2.5	2500	1000	1
Cuervos	10183	8727	225.3717	-1.4533	225.2448	-2.4686	2.5	2500	1000	1
Cuervos	10194	8778	225.4069	-1.2983	225.2801	-2.3136	2.5	2500	1000	1
Cuervos	10194	8778	225.8898	-1.2604	225.7631	-2.2757	2.5	2500	1000	1
Cuervos	10194	8778	226.3731	-1.2360	226.2464	-2.2513	2.5	2500	1000	1
Cuervos	10194	8778	226.8571	-1.2566	226.7303	-2.2719	2.5	2500	1000	1
Cuervos	10194	8778	227.3409	-1.2347	227.2141	-2.2500	2.5	2500	1000	1
Cuervos	10194	8778	227.8253	-1.2335	227.6985	-2.2488	2.5	2500	1000	1
Cuervos	10203	8772	227.8804	-1.1846	227.7536	-2.1999	2.5	2500	1000	1
Cuervos	10203	8772	228.3221	-1.1696	228.1954	-2.1849	2.5	2500	1000	1
Cuervos	10203	8772	228.7639	-1.1545	228.6371	-2.1698	2.5	2500	1000	1
Cuervos	10203	8772	229.2056	-1.1395	229.0789	-2.1548	2.5	2500	1000	1
Cuervos	10203	8772	229.6474	-1.1244	229.5206	-2.1397	2.5	2500	1000	1
Cuervos	10203	8772	230.0891	-1.1094	229.9624	-2.1247	2.5	2500	1000	1
Cuervos	10203	8772	230.5305	-1.1039	230.4037	-2.1192	2.5	2500	1000	1
